datetime,balance
2023-08-25 20:14:08,1009.0
2023-08-28 00:00:03,1009.0
2023-08-31 00:00:04,1009.0
2023-09-03 00:00:03,1009.0
2023-09-06 00:00:03,1009.0
2023-09-06 17:13:47,1009.0
2023-09-07 15:23:25,1009.09
2023-09-08 20:33:26,1009.09
2023-09-08 20:35:57,1009.09
2023-09-08 20:58:33,1009.09
2023-09-09 02:48:22,1009.09
2023-09-10 00:00:04,1009.09
2023-09-13 00:00:03,1009.09
2023-09-16 00:00:03,1009.09
2023-09-19 00:00:04,1009.09
2023-09-21 00:00:04,1009.09
2023-09-24 00:00:04,1009.09
2023-09-27 00:00:04,1009.09
2023-09-30 00:00:03,1009.09
2023-10-02 00:00:04,1009.09
2023-10-03 13:17:17,1009.09
2023-10-05 18:09:15,1009.09
2023-10-05 18:14:37,1009.09
2023-10-05 19:44:23,1009.09
2023-10-05 19:44:54,1009.09
2023-10-06 00:00:03,1009.09
2023-10-08 00:00:07,1009.09
2023-10-10 00:00:12,1009.09
2023-10-12 00:00:07,1009.09
2023-10-14 00:00:08,1009.09
2023-10-16 00:00:12,1009.09
2023-10-18 00:00:08,1009.09
2023-10-20 00:00:10,1009.09
2023-10-21 00:00:09,1009.09
2023-10-23 00:00:09,1009.09
2023-10-25 00:00:11,1009.09
2023-10-27 00:00:09,1009.09
2023-10-29 00:00:12,1009.09
2023-10-30 00:00:11,1009.09
2023-10-31 00:00:10,1009.09
2022-11-19 02:00:02,1000.0
2022-11-20 02:00:01,1000.0
2022-11-21 02:00:01,1000.0
2022-11-22 02:00:02,1000.0
2022-11-23 02:00:01,1000.0
2022-11-24 02:00:02,1000.0
2022-11-25 02:00:02,1000.0
2022-11-26 02:00:01,1000.0
2022-11-26 13:41:01,1000.0
2022-11-26 19:31:40,1009.09
2022-11-27 02:00:02,1009.09
2022-11-28 02:00:01,1009.09
2022-11-29 02:00:02,1009.09
2022-11-30 02:00:01,1009.09
2022-12-01 02:00:01,1009.09
2022-12-02 02:00:02,1009.09
2022-12-03 02:00:02,1009.09
2022-12-04 02:00:02,1009.09
2022-12-05 02:00:01,1009.09
2022-12-06 02:00:01,1009.09
2022-12-07 02:00:01,1009.09
2022-12-08 02:00:02,1009.09
2022-12-09 02:00:02,1009.09
2022-12-10 02:00:01,1009.09
2022-12-11 02:00:02,1009.09
2022-12-12 02:00:01,1009.09
2022-12-13 02:00:02,1009.09
2022-12-14 02:00:02,1009.09
2022-12-15 02:00:02,1009.09
2022-12-16 02:00:01,1009.09
2022-12-17 02:00:02,1009.09
2022-12-18 02:00:01,1009.09
2022-12-19 02:00:01,1009.09
2022-12-20 02:00:03,1009.09
2022-12-21 02:00:01,1009.09
2022-12-22 02:00:02,1009.09
2022-12-23 02:00:01,1009.09
2022-12-24 02:00:01,1009.09
2022-12-25 02:00:01,1009.09
2022-12-26 02:00:01,1009.09
2022-12-27 02:00:01,1009.09
2022-12-28 02:00:02,1009.09
2022-12-29 02:00:02,1009.09
2022-12-30 02:00:02,1009.09
2022-12-31 02:00:02,1009.09
2023-01-01 02:00:01,1009.09
2023-01-02 02:00:01,1009.09
2023-01-03 02:00:01,1009.09
2023-01-04 02:00:02,1009.09
2023-01-05 02:00:01,1009.09
2023-01-06 02:00:01,1009.09
2023-01-07 02:00:01,1009.09
2023-01-08 02:00:01,1009.09
2023-01-09 02:00:02,1009.09
2023-01-10 02:00:02,1009.09
2023-01-11 02:00:01,1009.09
2023-01-12 02:00:01,1009.09
2023-01-13 02:00:01,1009.09
2023-01-14 02:00:01,1009.09
2023-01-15 02:00:01,1009.09
2023-01-16 02:00:01,1009.09
2023-01-17 02:00:01,1009.09
2023-01-18 02:00:01,1009.09
2023-01-19 02:00:02,1009.09
2023-01-20 02:00:01,1009.09
2023-01-21 02:00:02,1009.09
2023-01-22 02:00:01,1009.09
2023-01-23 02:00:01,1009.09
2023-01-24 02:00:02,1009.09
2023-01-25 02:00:02,1009.09
2023-01-26 02:00:02,1009.09
2023-01-27 02:00:01,1009.09
2023-01-28 02:00:02,1009.09
2023-01-29 02:00:02,1009.09
2023-01-30 02:00:02,1009.09
2023-01-31 02:00:01,1009.09
2023-02-01 02:00:01,1009.09
2023-02-02 02:00:02,1009.09
2023-02-03 02:00:02,1009.09
2023-02-04 02:00:02,1009.09
2023-02-05 02:00:01,1009.09
2023-02-06 02:00:01,1009.09
2023-02-07 02:00:02,1009.09
2023-02-08 02:00:02,1009.09
2023-02-09 02:00:01,1009.09
2023-02-10 02:00:02,1009.09
2023-02-11 02:00:01,1009.09
2023-02-12 02:00:01,1009.09
2023-02-13 02:00:02,1009.09
2023-02-14 02:00:01,1009.09
2023-02-15 02:00:02,1009.09
2023-02-16 02:00:01,1009.09
2023-02-17 02:00:02,1009.09
2023-02-18 02:00:02,1009.09
2023-02-19 02:00:01,1009.09
2023-02-20 02:00:02,1009.09
2023-02-21 02:00:02,1009.09
2023-02-22 02:00:01,1009.09
2023-02-23 02:00:01,1009.09
2023-02-24 02:00:01,1009.09
2023-02-25 02:00:01,1009.09
2023-02-26 02:00:01,1009.09
2023-02-27 02:00:01,1009.09
2023-02-28 02:00:01,1009.09
2023-03-01 02:00:08,1009.09
2023-03-02 02:00:01,1009.09
2023-03-03 02:00:01,1009.09
2023-03-04 02:00:01,1009.09
2023-03-05 02:00:01,1009.09
2023-03-06 02:00:01,1009.09
2023-03-07 02:00:01,1009.09
2023-03-08 02:00:01,1009.09
2023-03-09 02:00:01,1009.09
2023-03-10 02:00:01,1009.09
2023-03-11 02:00:01,1009.09
2023-03-12 03:00:02,1009.09
2023-03-13 03:00:02,1009.09
2023-03-14 03:00:01,1009.09
2023-03-15 03:00:01,1009.09
2023-03-16 03:00:02,1009.09
2023-03-17 03:00:02,1009.09
2023-03-18 03:00:01,1009.09
2023-03-19 03:00:02,1009.09
2023-03-20 03:00:02,1009.09
2023-03-21 03:00:01,1009.09
2023-03-22 03:00:01,1009.09
2023-03-23 03:00:01,1009.09
2023-03-24 03:00:01,1009.09
2023-03-25 03:00:01,1009.09
2023-03-26 03:00:01,1009.09
2023-03-27 03:00:02,1009.09
2023-03-28 03:00:02,1009.09
2023-03-29 03:00:02,1009.09
2023-03-30 03:00:01,1009.09
2023-03-31 03:00:02,1009.09
2023-04-01 03:00:02,1009.09
2023-04-02 03:00:01,1009.09
2023-04-03 03:00:02,1009.09
2023-04-04 03:00:02,1009.09
